date,state,deaths,cases
2021-05-01,Alabama,17,387
2021-05-02,Alabama,0,288
2021-05-03,Alabama,0,187
2021-05-04,Alabama,0,0
2021-05-05,Alabama,17,662
2021-05-06,Alabama,16,565
2021-05-07,Alabama,20,314
2021-05-08,Alabama,12,419
2021-05-09,Alabama,0,244
2021-05-10,Alabama,0,106
2021-05-11,Alabama,7,310
2021-05-12,Alabama,12,347
2021-05-13,Alabama,4,1144
2021-05-14,Alabama,23,4918
2021-05-15,Alabama,14,2016
2021-05-16,Alabama,0,254
2021-05-17,Alabama,0,184
2021-05-18,Alabama,5,336
2021-05-19,Alabama,2,288
2021-05-20,Alabama,32,339
2021-05-21,Alabama,3,443
2021-05-22,Alabama,32,255
2021-05-23,Alabama,0,196
2021-05-24,Alabama,0,132
2021-05-25,Alabama,12,306
2021-05-26,Alabama,14,269
2021-05-27,Alabama,2,346
2021-05-28,Alabama,6,228
2021-05-29,Alabama,0,0
2021-05-30,Alabama,0,0
2021-05-31,Alabama,0,0
2021-06-01,Alabama,10,640
2021-06-02,Alabama,11,553
2021-06-03,Alabama,21,430
2021-06-04,Alabama,10,557
2021-06-05,Alabama,0,0
2021-06-06,Alabama,0,0
2021-06-07,Alabama,19,739
2021-06-08,Alabama,3,216
2021-06-09,Alabama,29,305
2021-06-10,Alabama,3,290
2021-06-11,Alabama,14,188
2021-06-12,Alabama,0,0
2021-06-13,Alabama,0,0
2021-06-14,Alabama,8,550
2021-06-15,Alabama,7,290
2021-06-16,Alabama,7,160
2021-06-17,Alabama,0,0
2021-06-18,Alabama,18,334
2021-06-19,Alabama,0,0
2021-06-20,Alabama,0,0
2021-06-21,Alabama,5,356
2021-06-22,Alabama,0,0
2021-06-23,Alabama,17,381
2021-06-24,Alabama,0,0
2021-06-25,Alabama,8,540
2021-06-26,Alabama,0,0
2021-06-27,Alabama,0,0
2021-06-28,Alabama,2,517
2021-06-29,Alabama,0,0
2021-06-30,Alabama,14,532
2021-07-01,Alabama,0,0
2021-07-02,Alabama,6,315
2021-07-03,Alabama,0,0
2021-07-04,Alabama,0,0
2021-07-05,Alabama,0,0
2021-07-06,Alabama,0,0
2021-07-07,Alabama,29,1613
2021-07-08,Alabama,0,0
2021-07-09,Alabama,11,1160
2021-07-10,Alabama,4,534
2021-07-11,Alabama,0,0
2021-07-12,Alabama,0,610
2021-07-13,Alabama,0,0
2021-07-14,Alabama,26,1398
2021-07-15,Alabama,11,965
2021-07-16,Alabama,3,999
2021-07-17,Alabama,1,901
2021-07-18,Alabama,0,724
2021-07-19,Alabama,0,718
2021-07-20,Alabama,17,1391
2021-07-21,Alabama,2,1632
